   1   1   0   0   1  56   5  11  49  63
   2   1   0   0   0  66   1  17  51  53
   3   1   0   0   0  67   6  12  61  71
   4   0   0   0   1  50   4  15  57  53
   5   1   0   0   0  64   6  11  47  57
   6   0   1 999   1  60   3  23  65  55
   7   1   1   0   0 999   3  12  54 999
   8   1   0   0   0  67   4  25  61  74
   9   0   1   0   1  32   3  17  47 999
  10   0   0   0   1  42   5  39  38  37
  11   1   1   0   1  42   3  23  50 999
  12   0   0   0   1  54   1  19  55  67
  13   0   1   0   1  43   3  20  59 999
  14   1   0   0   1  51 999  26  49  57
  15   0   0   0   1  49   2  20  47  57
  16   1   1   0   1  58 999   7  46 999
  17   0   0   0   0  66   6   9  47  62
  18   0   0   0   0  64   2  18  41  53
  19   1   1   0   0  69   6  11  55  61
  20   0   1 999   1  50   3  26  45  53
  21   1   1   0   1  60   5  14  61  69
  22   1   0   0   1  50   3  13  41  55
  23   0   0   0   1  58   4  16  61  65
  24   1   0   0   1  57 999  32  34  43
  25   0   1   0   1  33   1  43  33  41
  26   1   0   0   1  57   3  19  43  57
  27   1   1   0   1  61   1  25  51  75
  28   0   0   0 999  69   1  24  40  53
  29   0   0   0   1  55   2  15  46  46
  30   0   1   0   1  54   2  23  46  46
  31   0   0   0   1  42   5  18  41  58
  32   1   1   0   0  66   3  16  59  74
  33   0   0   0   1  60   3  17  55  64
  34   0   0   0   0  69   3  19  52  71
  35   0   0   0   1  58   3   9  47  50
  36   0   0   0   1  60   4  16  64  61
  37   0   0 999   1  52 999  15  53  51
  38   1   1   0   1  55   5 999  48  58
  39   0   1   0   1  46   1  16  45  68
  40   1   0   0   1  62   1  34  38 999
  41   0   0   0   0  68   6  15  57  67
  42   1   1   0   1  55   6  28  67  75
  43   1   0   0   1  60   5  24  62  71
  44   0   1   0   1  61 999  20  44  60
  45   0   1   0   1  50   4   4  54  51
  46   1   1   0   0  62   6  10  51  62
  47   0   1   0   1  56   5   7  46  56
  48   1   1   0   1  48 999  12  48  44
  49   0   1   0   1  52   2  20  53  55
  50   0   0   0   0  62   6   9  61  66
  51   0   0   0 999  54   2  16  45 999
